time;a;d;g;r;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10
780;117.316;3.3192735;1.82495;0.3262313;5.63322;-6.59023;3.12334;1.56967;0.64577;-1.33946;-0.20397;2.16102;0.23234;-0.52233
790;116.942;3.276741;1.80581;0.3134297;5.28623;-6.67768;3.49392;1.44668;0.49008;-2.06129;0.35661;2.13087;0.44479;-0.30972
800;115.775;3.2867639;1.79652;0.2921213;5.15562;-6.09088;4.32353;1.51785;0.21095;-1.23875;0.53209;1.6418;0.49295;-0.14773
810;117.656;3.3690398;1.8102;0.2905809;5.72958;-6.0647;4.08864;1.57151;0.1008;-1.44149;0.40256;1.71743;0.56003;-0.4892
820;114.595;3.1202507;1.78716;0.295963;4.95455;-5.88905;3.72089;1.14703;-0.17857;-0.82466;0.31011;1.56333;0.47072;-0.12854
830;116.397;3.0689936;1.7738;0.315276;4.64737;-5.41545;4.15131;1.13313;-0.76924;-1.23228;0.1576;1.68567;0.68536;-0.00673
840;114.287;3.0956953;1.78258;0.3109439;4.84162;-5.95324;3.6291;1.02008;-0.27633;-1.16844;0.29055;1.74008;0.65422;0.22527
850;113.299;3.165478;1.77021;0.2849588;4.69639;-5.9644;4.52752;1.2096;0.01112;-1.01036;0.5855;2.22911;1.0718;0.07402
860;113.908;3.1454821;1.78415;0.2840523;4.66869;-6.14927;4.3266;1.49418;0.10769;-1.00952;0.72304;2.26137;0.57357;-0.18809
870;116.696;3.3043087;1.8042;0.2623068;5.45778;-6.27651;4.67317;1.41305;0.45399;-0.92077;0.64664;1.87059;0.43565;-0.08641
880;113.788;3.3827178;1.79778;0.2328222;5.31292;-7.28289;4.21387;1.82272;0.44082;-0.25677;0.90945;1.39261;0.72199;-0.52203
890;112.592;3.3828752;1.80037;0.220831;5.85835;-7.25027;4.08034;1.70058;0.37229;0.02413;0.92807;1.05149;0.524;-0.39719
900;111.82;3.4006076;1.81091;0.2196604;5.96188;-7.62652;4.1128;2.1562;0.43567;0.14161;1.09508;1.46569;0.52647;-0.4068
910;114.345;3.3243279;1.79644;0.2333299;5.62214;-7.27848;4.05953;1.4966;0.54964;-0.04466;0.97342;1.5351;0.29889;-0.14148
920;115.186;3.5024002;1.8138;0.2176096;6.07611;-7.35095;3.9588;2.05408;0.74291;0.26532;0.78687;1.33245;0.51611;-0.65148
930;116.875;3.5206385;1.82539;0.2382376;6.4514;-7.27094;3.52175;1.98884;0.53956;0.17476;0.25254;1.15689;0.10732;-0.88011
940;118.845;3.5347795;1.84476;0.2578048;7.12054;-7.1031;2.88507;1.89564;0.5874;-0.23262;-0.24107;1.0207;0.5374;-0.79656
950;117.324;3.6980016;1.85869;0.2534851;7.55231;-7.82463;2.82296;2.32252;0.98734;0.08393;0.16074;0.68677;0.36225;-0.9426
960;117.778;3.7500718;1.86684;0.2639904;7.75925;-7.80925;2.6051;2.25984;0.82436;0.18501;0.15567;0.79341;0.3538;-1.19255
970;117.932;3.7453301;1.86277;0.2698313;7.49863;-7.39208;2.56308;2.8424;1.14635;0.02114;0.32943;0.72651;0.12783;-1.05448
980;118.566;3.724174;1.84373;0.2619326;7.78272;-6.40138;2.4993;2.02266;0.78708;-0.12841;-0.03568;0.49725;0.52879;-1.30298
990;116.012;3.9049847;1.87012;0.2758634;8.33126;-7.23736;2.18472;2.5951;1.33285;-0.08614;0.23444;0.42805;0.51763;-1.23342
1000;118.017;3.9010372;1.85569;0.2612323;8.39621;-6.82925;2.33622;2.12501;1.34851;0.53901;0.64013;-0.44556;0.50965;-1.30046
1010;116.728;3.639081;1.8358;0.2499007;7.70394;-6.25858;2.61011;1.75461;0.42664;-0.28807;0.65316;0.26922;0.4962;-0.84565
